# ground truth trajectory
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp tx ty tz qx qy qz qw
1305031098.6659 1.3563 0.6305 1.6380 0.6132 0.5962 -0.3311 -0.3986
1305031098.6758 1.3543 0.6306 1.6360 0.6129 0.5966 -0.3316 -0.3980
1305031098.6858 1.3525 0.6306 1.6339 0.6136 0.5971 -0.3312 -0.3966
1305031098.6959 1.3502 0.6306 1.6318 0.6139 0.5972 -0.3312 -0.3959
1305031098.7058 1.3482 0.6308 1.6298 0.6148 0.5978 -0.3301 -0.3945
1305031098.7158 1.3462 0.6308 1.6275 0.6148 0.5976 -0.3307 -0.3943
1305031098.7258 1.3439 0.6308 1.6253 0.6151 0.5977 -0.3309 -0.3935
1305031098.7359 1.3417 0.6308 1.6231 0.6155 0.5985 -0.3302 -0.3923
1305031098.7459 1.3397 0.6307 1.6210 0.6152 0.5993 -0.3300 -0.3918
1305031098.7559 1.3375 0.6306 1.6187 0.6148 0.5993 -0.3306 -0.3919
1305031098.7658 1.3349 0.6304 1.6164 0.6143 0.5998 -0.3311 -0.3915
1305031098.7758 1.3328 0.6303 1.6138 0.6141 0.6010 -0.3305 -0.3905
1305031098.7858 1.3302 0.6299 1.6112 0.6139 0.6018 -0.3303 -0.3896
1305031098.7959 1.3278 0.6296 1.6087 0.6139 0.6023 -0.3298 -0.3894
1305031098.8058 1.3258 0.6295 1.6062 0.6154 0.6029 -0.3274 -0.3882
1305031098.8158 1.3228 0.6291 1.6034 0.6142 0.6036 -0.3283 -0.3880
1305031098.8258 1.3208 0.6289 1.6008 0.6149 0.6046 -0.3265 -0.3869
1305031098.8358 1.3179 0.6286 1.5979 0.6145 0.6051 -0.3269 -0.3865
1305031098.8458 1.3150 0.6284 1.5950 0.6140 0.6064 -0.3270 -0.3852
1305031098.8558 1.3118 0.6278 1.5920 0.6132 0.6072 -0.3282 -0.3842
1305031098.8658 1.3098 0.6274 1.5890 0.6140 0.6086 -0.3267 -0.3819
1305031098.8759 1.3066 0.6269 1.5857 0.6139 0.6095 -0.3271 -0.3803
1305031098.8860 1.3034 0.6265 1.5825 0.6133 0.6107 -0.3277 -0.3788
1305031098.8958 1.3007 0.6262 1.5792 0.6145 0.6116 -0.3259 -0.3769
1305031098.9058 1.2977 0.6259 1.5761 0.6146 0.6124 -0.3258 -0.3757
1305031098.9158 1.2943 0.6252 1.5726 0.6147 0.6134 -0.3261 -0.3736
1305031098.9259 1.2913 0.6248 1.5691 0.6153 0.6148 -0.3255 -0.3707
1305031098.9359 1.2886 0.6245 1.5658 0.6161 0.6167 -0.3244 -0.3672
1305031098.9459 1.2856 0.6241 1.5621 0.6171 0.6181 -0.3232 -0.3643
1305031098.9559 1.2817 0.6235 1.5583 0.6164 0.6174 -0.3261 -0.3641
1305031098.9659 1.2790 0.6233 1.5548 0.6180 0.6197 -0.3228 -0.3604
1305031098.9758 1.2755 0.6228 1.5511 0.6181 0.6200 -0.3231 -0.3594
1305031098.9858 1.2726 0.6226 1.5474 0.6193 0.6205 -0.3218 -0.3576
1305031098.9958 1.2693 0.6222 1.5437 0.6195 0.6209 -0.3218 -0.3566
1305031099.0059 1.2661 0.6220 1.5401 0.6194 0.6215 -0.3217 -0.3558
1305031099.0159 1.2632 0.6220 1.5367 0.6200 0.6221 -0.3204 -0.3550
1305031099.0259 1.2597 0.6215 1.5328 0.6200 0.6217 -0.3217 -0.3545
1305031099.0359 1.2567 0.6216 1.5292 0.6212 0.6228 -0.3193 -0.3526
1305031099.0459 1.2533 0.6213 1.5253 0.6217 0.6226 -0.3191 -0.3522
1305031099.0559 1.2502 0.6212 1.5217 0.6226 0.6237 -0.3169 -0.3507
1305031099.0659 1.2473 0.6211 1.5180 0.6237 0.6243 -0.3147 -0.3495
1305031099.0759 1.2443 0.6208 1.5142 0.6247 0.6255 -0.3128 -0.3475
1305031099.0859 1.2411 0.6207 1.5106 0.6257 0.6264 -0.3105 -0.3460
1305031099.0959 1.2381 0.6204 1.5070 0.6259 0.6272 -0.3099 -0.3447
1305031099.1059 1.2351 0.6203 1.5035 0.6264 0.6276 -0.3089 -0.3440
1305031099.1159 1.2322 0.6201 1.5000 0.6262 0.6275 -0.3093 -0.3441
1305031099.1259 1.2292 0.6199 1.4966 0.6260 0.6277 -0.3093 -0.3442
1305031099.1359 1.2263 0.6199 1.4931 0.6257 0.6275 -0.3095 -0.3450
1305031099.1459 1.2234 0.6198 1.4897 0.6256 0.6282 -0.3083 -0.3448
1305031099.1559 1.2204 0.6198 1.4862 0.6254 0.6287 -0.3075 -0.3450
1305031099.1677 1.2175 0.6197 1.4826 0.6259 0.6293 -0.3059 -0.3444
1305031099.1759 1.2146 0.6198 1.4790 0.6261 0.6296 -0.3053 -0.3440
1305031099.1859 1.2116 0.6199 1.4754 0.6272 0.6298 -0.3036 -0.3432
1305031099.1959 1.2087 0.6201 1.4719 0.6284 0.6305 -0.3017 -0.3415
1305031099.2059 1.2058 0.6202 1.4683 0.6288 0.6306 -0.3010 -0.3410
1305031099.2159 1.2028 0.6203 1.4647 0.6293 0.6307 -0.3005 -0.3403
1305031099.2259 1.2001 0.6205 1.4614 0.6296 0.6312 -0.2995 -0.3398
1305031099.2359 1.1972 0.6207 1.4579 0.6299 0.6317 -0.2989 -0.3390
1305031099.2459 1.1945 0.6208 1.4545 0.6303 0.6318 -0.2986 -0.3382
1305031099.2559 1.1917 0.6211 1.4511 0.6306 0.6326 -0.2980 -0.3366
1305031099.2659 1.1889 0.6212 1.4477 0.6311 0.6325 -0.2986 -0.3354
1305031099.2758 1.1862 0.6215 1.4444 0.6318 0.6328 -0.2985 -0.3338
1305031099.2859 1.1836 0.6216 1.4411 0.6329 0.6330 -0.2978 -0.3316
1305031099.2959 1.1810 0.6219 1.4378 0.6338 0.6337 -0.2964 -0.3298
1305031099.3060 1.1783 0.6222 1.4347 0.6343 0.6341 -0.2954 -0.3291
